Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
M_025,,,,,,16.85688113,47.75236005,163.792,Global,0.013,0.010,0.016,0.016,2.086,m,FIX,2024-10-08 10:41:17.6 UTC+02:00,2024-10-08 10:41:22.6 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,220.220,,Global CS,12,0,0,0,0
M_026,,,,,,16.85648675,47.75228814,163.795,Global,0.011,0.010,0.016,0.015,2.086,m,FIX,2024-10-08 10:43:29.9 UTC+02:00,2024-10-08 10:43:35.1 UTC+02:00,27,1.1,1.3,,,,16.85631028,47.75041728,166.507,208.453,,Global CS,12,9,0,0,0
M_027,,,,,,16.85634392,47.75207515,163.873,Global,0.073,0.022,0.013,0.077,2.086,m,FIX,2024-10-08 10:46:08.0 UTC+02:00,2024-10-08 10:46:13.0 UTC+02:00,26,1.1,1.3,,,,16.85631028,47.75041728,166.507,184.331,,Global CS,12,0,0,0,0
M_028,,,,,,16.85613286,47.75190558,163.974,Global,0.012,0.014,0.012,0.019,2.086,m,FIX,2024-10-08 10:48:28.8 UTC+02:00,2024-10-08 10:48:34.0 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,166.007,,Global CS,12,9,0,0,0
M_029,,,,,,16.85589659,47.75211151,164.348,Global,0.012,0.011,0.012,0.017,2.086,m,FIX,2024-10-08 10:50:42.8 UTC+02:00,2024-10-08 10:50:47.9 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,190.903,,Global CS,12,9,0,0,0
M_030,,,,,,16.85605910,47.75231565,164.064,Global,0.010,0.012,0.012,0.016,2.086,m,FIX,2024-10-08 10:53:12.7 UTC+02:00,2024-10-08 10:53:17.9 UTC+02:00,27,1.1,1.2,,,,16.85631028,47.75041728,166.507,211.907,,Global CS,12,10,0,0,0
M_031,,,,,,16.85625365,47.75254539,164.005,Global,0.012,0.020,0.019,0.024,2.086,m,FLOAT,2024-10-08 10:55:41.7 UTC+02:00,2024-10-08 10:55:46.7 UTC+02:00,26,1.1,1.2,,,,16.85631028,47.75041728,166.507,236.660,,Global CS,11,10,0,0,0
M_032,,,,,,16.85664344,47.75258186,163.921,Global,0.011,0.011,0.012,0.015,2.086,m,FIX,2024-10-08 11:00:01.9 UTC+02:00,2024-10-08 11:00:06.9 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,241.980,,Global CS,12,10,0,0,0
M_033,,,,,,16.85687373,47.75277670,164.026,Global,0.012,0.012,0.010,0.017,2.086,m,FIX,2024-10-08 11:02:45.5 UTC+02:00,2024-10-08 11:02:50.5 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,265.725,,Global CS,12,10,0,0,0
M_034,,,,,,16.85640679,47.75279378,164.126,Global,0.015,0.019,0.017,0.024,2.086,m,FLOAT,2024-10-08 11:05:14.3 UTC+02:00,2024-10-08 11:05:19.5 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,264.336,,Global CS,12,10,0,0,0
M_035,,,,,,16.85621903,47.75315238,164.176,Global,0.013,0.011,0.019,0.017,2.086,m,FLOAT,2024-10-08 11:07:50.5 UTC+02:00,2024-10-08 11:07:55.5 UTC+02:00,26,1.2,1.4,,,,16.85631028,47.75041728,166.507,304.194,,Global CS,12,10,0,0,0
M_036,,,,,,16.85616172,47.75354809,163.966,Global,0.010,0.013,0.011,0.017,2.086,m,FIX,2024-10-08 11:10:36.5 UTC+02:00,2024-10-08 11:10:41.5 UTC+02:00,26,1.2,1.4,,,,16.85631028,47.75041728,166.507,348.293,,Global CS,12,10,0,0,0
M_037,,,,,,16.85577013,47.75382274,163.974,Global,0.013,0.015,0.015,0.020,2.086,m,FIX,2024-10-08 11:13:13.1 UTC+02:00,2024-10-08 11:13:18.3 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,380.796,,Global CS,11,10,0,0,0
M_038,,,,,,16.85564213,47.75428398,164.025,Global,0.010,0.018,0.010,0.020,2.086,m,FIX,2024-10-08 11:15:41.7 UTC+02:00,2024-10-08 11:15:46.7 UTC+02:00,26,1.1,1.3,,,,16.85631028,47.75041728,166.507,432.837,,Global CS,11,10,3,0,0
M_039,,,,,,16.85497095,47.75417166,163.767,Global,0.012,0.013,0.020,0.018,2.086,m,FLOAT,2024-10-08 11:18:38.5 UTC+02:00,2024-10-08 11:18:43.7 UTC+02:00,27,1.1,1.3,,,,16.85631028,47.75041728,166.507,429.347,,Global CS,11,0,0,0,0
M_040,,,,,,16.85444146,47.75442115,164.117,Global,0.014,0.012,0.012,0.018,2.086,m,FIX,2024-10-08 11:21:29.9 UTC+02:00,2024-10-08 11:21:34.9 UTC+02:00,26,1.1,1.2,,,,16.85631028,47.75041728,166.507,466.715,,Global CS,11,10,0,0,0
M_041,,,,,,16.85382655,47.75448961,164.267,Global,0.011,0.010,0.013,0.015,2.086,m,FIX,2024-10-08 11:24:07.3 UTC+02:00,2024-10-08 11:24:12.4 UTC+02:00,26,1.1,1.2,,,,16.85631028,47.75041728,166.507,489.599,,Global CS,12,10,0,0,0
M_042,,,,,,16.85413145,47.75418620,164.019,Global,0.012,0.016,0.013,0.020,2.086,m,FIX,2024-10-08 11:27:02.1 UTC+02:00,2024-10-08 11:27:07.1 UTC+02:00,26,1.1,1.3,,,,16.85631028,47.75041728,166.507,449.797,,Global CS,13,0,0,0,0
M_043,,,,,,16.85400678,47.75376255,163.935,Global,0.011,0.012,0.014,0.017,2.086,m,FIX,2024-10-08 11:29:41.1 UTC+02:00,2024-10-08 11:29:46.3 UTC+02:00,27,1.1,1.3,,,,16.85631028,47.75041728,166.507,410.094,,Global CS,12,10,0,0,0
M_044,,,,,,16.85449894,47.75344448,163.915,Global,0.011,0.014,0.025,0.018,2.086,m,FIX,2024-10-08 11:32:25.7 UTC+02:00,2024-10-08 11:32:30.7 UTC+02:00,26,1.1,1.3,,,,16.85631028,47.75041728,166.507,362.965,,Global CS,12,9,0,0,0
M_045,,,,,,16.85477318,47.75300918,163.817,Global,0.013,0.012,0.021,0.018,2.086,m,FLOAT,2024-10-08 11:35:13.1 UTC+02:00,2024-10-08 11:35:18.1 UTC+02:00,26,1.1,1.2,,,,16.85631028,47.75041728,166.507,310.380,,Global CS,12,9,0,0,0
M_046,,,,,,16.85533360,47.75285118,163.891,Global,0.013,0.026,0.024,0.029,2.086,m,FLOAT,2024-10-08 11:37:58.8 UTC+02:00,2024-10-08 11:38:03.9 UTC+02:00,27,1.1,1.2,,,,16.85631028,47.75041728,166.507,280.384,,Global CS,12,9,0,0,0
M_047,,,,,,16.85559967,47.75252385,164.610,Global,0.012,0.011,0.022,0.016,2.086,m,FLOAT,2024-10-08 11:41:04.5 UTC+02:00,2024-10-08 11:41:09.5 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,240.207,,Global CS,12,9,0,0,0
M_048,,,,,,16.85485353,47.75258574,164.609,Global,0.011,0.030,0.011,0.032,2.086,m,FIX,2024-10-08 11:44:59.2 UTC+02:00,2024-10-08 11:45:04.2 UTC+02:00,26,1.1,1.3,,,,16.85631028,47.75041728,166.507,264.742,,Global CS,12,0,0,0,0
