name,manual,gradient,cubic,golden
M001,,9.394443439884116,5.000000000000001,31.36989665424507
M003,8.0,8.024090035856696,8.024090035856696,8.051996464552909
M004,,20.665569151220556,10.998825680021056,8.250528226167997
M005,,12.87720418070694,62.312361621777015,19.010841363314235
M006,,9.394443439884116,9.394443439884116,29.159397840877357
M007,9.0,9.394443439884116,9.394443439884116,9.147272967683449
M008,11.0,5.8538995686138975,5.000000000000001,40.109635064265774
M011,45.0,45.4593985345391,45.4593985345391,44.88477993403685
M012,13.0,6.853628031883595,5.000000000000001,5.908454847983974
M013,,15.076371999678692,53.22295069415713,48.84588419167913
M014,11.0,5.8538995686138975,5.000000000000001,56.85834548705098
M015,9.0,8.024090035856696,20.665569151220556,10.141484333079434
M016,45.0,38.82830410883109,38.82830410883109,41.721946665058255
M017,28.0,28.326824805926805,33.164477502323265,29.159397840877375
M018,,72.95406136340671,12.87720418070694,34.45739710744513
M019,,20.665569151220556,33.164477502323265,11.695728060913302
M020,33.0,33.164477502323265,33.164477502323265,33.942575593982546
M021,,15.076371999678692,12.87720418070694,35.30698612285602
M022,,53.22295069415713,12.87720418070694,6.9819677381330605
M023,11.0,20.665569151220556,24.19483326789813,8.250528226167996
M025,,10.998825680021056,28.326824805926805,12.773192950452492
M026,,100.0,5.8538995686138975,19.010841363314235
M027,13.0,12.87720418070694,100.0,10.141484333079434
M028,11.0,20.665569151220556,24.19483326789813,5.5434468660268745
M029,11.0,6.853628031883595,10.998825680021056,7.740833435330893
M030,11.0,5.8538995686138975,10.998825680021056,7.262626177495921
M031,,72.95406136340671,72.95406136340671,9.514971509387493
M032,9.0,9.394443439884116,10.998825680021056,10.549147798809805
M033,9.0,9.394443439884116,9.394443439884116,8.58217976950422
M034,13.0,45.4593985345391,5.000000000000001,15.700708201877141
M035,8.0,8.024090035856696,9.394443439884116,8.58217976950422
M036,18.0,53.22295069415713,5.000000000000001,35.30698612285602
M037,9.0,9.394443439884116,9.394443439884116,8.58217976950422
M038,11.0,10.998825680021056,12.87720418070694,11.243755908613966
M039,,100.0,17.651113509036346,15.093966762467124
M040,15.0,15.076371999678692,15.076371999678692,14.730761919217507
M041,13.0,8.024090035856696,38.82830410883109,48.845884191678735
M042,9.0,6.853628031883595,5.000000000000001,48.116086988844174
M043,11.0,6.853628031883595,6.853628031883595,49.30244760809843
M044,13.0,12.87720418070694,9.394443439884116,11.695728060913302
M045,21.0,20.665569151220556,24.19483326789813,23.722408578741994
M046,,72.95406136340671,72.95406136340671,67.1889934082628
M047,11.0,20.665569151220556,20.665569151220556,62.096400836877805
M048,,6.853628031883595,9.394443439884116,9.749574699266176
M049,,6.853628031883595,6.853628031883595,9.147272967683449
M050,13.0,5.8538995686138975,5.000000000000001,6.55064110202361
M051,,24.19483326789813,28.326824805926805,61.52135950954235
M052,11.0,5.000000000000001,5.000000000000001,37.06952359350625
M053,,5.000000000000001,5.000000000000001,6.297496762278169
M054,11.0,17.651113509036346,10.998825680021056,58.260257117509
M055,11.0,6.853628031883595,6.853628031883595,38.559629968942005
M056,33.0,33.164477502323265,33.164477502323265,35.30698612285598
M062,18.0,5.000000000000001,62.312361621777015,49.30244760809843
M066,11.0,17.651113509036346,20.665569151220556,64.2221902077665
