Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Profile
M053,EPSG:32633,639131.1958291356,5290360.257146716,161.732,,16.85627919,47.75159493,163.818,Global,0.024,0.017,0.013,0.029,2.086,m,FIX,2024-10-08 12:03:33.6 UTC+02:00,2024-10-08 12:03:38.8 UTC+02:00,27,1.3,1.4,,,,16.85631028,47.75041728,166.507,130.951,,Global CS,11,9,0,0,0,M053
M054,EPSG:32633,639133.5453485249,5290323.746687506,161.783,,16.85629884,47.75126609,163.869,Global,0.022,0.017,0.021,0.028,2.086,m,FLOAT,2024-10-08 12:06:29.6 UTC+02:00,2024-10-08 12:06:34.6 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,94.385,,Global CS,11,9,3,0,0,M054
M055,EPSG:32633,639152.4790115833,5290292.575828208,161.731,,16.85654134,47.75098169,163.817,Global,0.019,0.017,0.023,0.025,2.086,m,FLOAT,2024-10-08 12:09:00.6 UTC+02:00,2024-10-08 12:09:05.6 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,65.124,,Global CS,10,9,0,0,1,M055
M056,EPSG:32633,639150.0483895615,5290258.72955609,161.80999999999997,,16.8564981,47.75067784,163.896,Global,0.012,0.012,0.024,0.018,2.086,m,FLOAT,2024-10-08 12:11:34.6 UTC+02:00,2024-10-08 12:11:39.6 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,32.219,,Global CS,10,9,0,0,1,M056
M057,EPSG:32633,639247.4028097435,5290271.071955416,161.606,,16.85780022,47.75076782,163.692,Global,0.011,0.011,0.01,0.016,2.086,m,FIX,2024-10-08 12:16:30.8 UTC+02:00,2024-10-08 12:16:36.0 UTC+02:00,27,1.4,1.5,,,,16.85631028,47.75041728,166.507,118.328,,Global CS,10,9,0,0,1,M057
M058,EPSG:32633,639247.3966492317,5290311.432790053,161.59799999999998,,16.85781306,47.75113078,163.684,Global,0.013,0.017,0.02,0.021,2.086,m,FLOAT,2024-10-08 12:19:18.6 UTC+02:00,2024-10-08 12:19:23.8 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,137.818,,Global CS,10,9,0,0,1,M058
M059,EPSG:32633,639224.8239173808,5290348.037053484,161.631,,16.85752378,47.75146483,163.717,Global,0.02,0.016,0.02,0.026,2.086,m,FLOAT,2024-10-08 12:23:26.4 UTC+02:00,2024-10-08 12:23:31.6 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,147.823,,Global CS,10,9,0,0,1,M059
M060,EPSG:32633,639204.7842357506,5290384.222926507,161.504,,16.85726814,47.75179457,163.59,Global,0.01,0.009,0.018,0.013,2.086,m,FLOAT,2024-10-08 12:26:21.9 UTC+02:00,2024-10-08 12:26:21.9 UTC+02:00,1,1.4,1.6,,,,16.85631028,47.75041728,166.507,169.148,,Global CS,10,9,0,0,1,M060
M061,EPSG:32633,639178.4985402033,5290400.668940631,161.58499999999998,,16.85692289,47.75194814,163.671,Global,0.014,0.011,0.012,0.018,2.086,m,FIX,2024-10-08 12:30:33.8 UTC+02:00,2024-10-08 12:30:38.8 UTC+02:00,26,1.3,1.5,,,,16.85631028,47.75041728,166.507,176.312,,Global CS,10,9,0,0,0,M061
M062,EPSG:32633,639174.2322077029,5290294.798053321,161.13299999999998,,16.85683212,47.75099698,163.219,Global,0.069,0.092,0.109,0.116,2.086,m,FLOAT,2024-10-08 12:38:04.5 UTC+02:00,2024-10-08 12:38:09.7 UTC+02:00,27,1.4,1.6,,,,16.85631028,47.75041728,166.507,75.358,,Global CS,11,0,0,0,1,M062
M063,EPSG:32633,639211.3956145972,5290309.803449321,161.523,,16.85733248,47.7511239,163.609,Global,0.009,0.014,0.021,0.016,2.086,m,FIX,2024-10-08 12:43:12.9 UTC+02:00,2024-10-08 12:43:17.9 UTC+02:00,26,1.4,1.6,,,,16.85631028,47.75041728,166.507,109.769,,Global CS,12,0,0,0,1,M063
M064,EPSG:32633,639252.0550883532,5290347.042873586,161.313,,16.85788658,47.75145001,163.399,Global,0.023,0.024,0.029,0.034,2.086,m,FLOAT,2024-10-08 12:45:54.3 UTC+02:00,2024-10-08 12:45:59.3 UTC+02:00,26,1.4,1.6,,,,16.85631028,47.75041728,166.507,164.816,,Global CS,12,9,0,0,1,M064
M065,EPSG:32633,639274.4148221886,5290384.423560933,161.39999999999998,,16.85819671,47.75178134,163.486,Global,0.01,0.01,0.01,0.014,2.086,m,FIX,2024-10-08 12:49:01.5 UTC+02:00,2024-10-08 12:49:01.5 UTC+02:00,1,1.3,1.5,,,,16.85631028,47.75041728,166.507,207.396,,Global CS,12,9,0,0,0,M065
M066,EPSG:32633,639299.6420565365,5290415.805064536,161.6,,16.85854316,47.7520581,163.686,Global,0.019,0.026,0.022,0.032,2.086,m,FLOAT,2024-10-08 12:52:45.3 UTC+02:00,2024-10-08 12:52:50.5 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,247.656,,Global CS,11,9,0,0,1,M066
Mtest,EPSG:32633,639151.9785986546,5290223.696891902,161.952,,16.85651263,47.75036238,164.038,Global,0.051,0.024,0.01,0.056,2.086,m,FIX,2024-10-08 09:24:55.3 UTC+02:00,2024-10-08 09:25:00.5 UTC+02:00,27,1.3,1.5,,,,16.85631028,47.75041728,166.507,16.416,,Global CS,10,10,0,0,0,Mtest
